,product_model,MdAPE,product,model
0,cabbage_Ridge,0.806094,cabbage,Ridge
1,cabbage_RandomForest,0.917257,cabbage,RandomForest
2,cabbage_LGBM,0.837808,cabbage,LGBM
3,cabbage_XGBoost,0.886831,cabbage,XGBoost
4,cabbage_MLP,0.8838,cabbage,MLP
5,radish_Ridge,0.831214,radish,Ridge
6,radish_RandomForest,0.923286,radish,RandomForest
7,radish_LGBM,0.922292,radish,LGBM
8,radish_XGBoost,0.905295,radish,XGBoost
9,radish_MLP,0.94691,radish,MLP
10,garlic_Ridge,0.90652,garlic,Ridge
11,garlic_RandomForest,0.965211,garlic,RandomForest
12,garlic_LGBM,0.970109,garlic,LGBM
13,garlic_XGBoost,0.941555,garlic,XGBoost
14,garlic_MLP,0.964591,garlic,MLP
15,onion_Ridge,0.937939,onion,Ridge
16,onion_RandomForest,0.957901,onion,RandomForest
17,onion_LGBM,0.951308,onion,LGBM
18,onion_XGBoost,0.971881,onion,XGBoost
19,onion_MLP,0.970468,onion,MLP
20,daikon_Ridge,0.925594,daikon,Ridge
21,daikon_RandomForest,0.932569,daikon,RandomForest
22,daikon_LGBM,0.915297,daikon,LGBM
23,daikon_XGBoost,0.927583,daikon,XGBoost
24,daikon_MLP,0.880246,daikon,MLP
25,cilantro_Ridge,0.820179,cilantro,Ridge
26,cilantro_RandomForest,0.84273,cilantro,RandomForest
27,cilantro_LGBM,0.747181,cilantro,LGBM
28,cilantro_XGBoost,0.797337,cilantro,XGBoost
29,cilantro_MLP,0.832597,cilantro,MLP
30,artichoke_Ridge,0.833782,artichoke,Ridge
31,artichoke_RandomForest,0.929066,artichoke,RandomForest
32,artichoke_LGBM,0.930054,artichoke,LGBM
33,artichoke_XGBoost,0.915967,artichoke,XGBoost
34,artichoke_MLP,0.891969,artichoke,MLP
